,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
158,3 Wallich Street,Wallich Residence,2016,1313 sqft,3,3,"S$ 4,300,000 ","S$ 3,274.94 psf",99-year Leasehold,Condominium,1.2771270000000001,103.8458115
159,13 Bartley Road,The Quinn,2016,560 sqft,1,2,"S$ 910,000 ","S$ 1,625.00 psf",Freehold,Apartment,1.3439969999999999,103.8732255
160,2 Martin Place,Martin Place Residences,2011,592 sqft,1,1,"S$ 1,425,000 ","S$ 2,407.09 psf",Freehold,Condominium,1.2941639999999999,103.838427
161,109 West Coast Vale,Whistler Grand,99-year Leasehold,958 sqft,2,3,"S$ 1,247,490 ","S$ 1,302.18 psf",Condominium,New Project: 2022,1.31152007,103.7596300039
162,30 Bedok North Drive,Bedok Residences,2015,517 sqft,1,1,"S$ 900,000 ","S$ 1,740.81 psf",99-year Leasehold,Condominium,1.324287,103.928787
163,690 Jurong West Central 1,690 Jurong West Central 1,1997,1280 sqft,2,3,"S$ 490,000 ",S$ 382.81 psf,99-year Leasehold,HDB Apartment,1.33949,103.70739
164,10 Braddell Hill,Braddell View,1981,1615 sqft,3,3,"S$ 1,680,000 ","S$ 1,040.25 psf",99-year Leasehold,Apartment,1.3333300000000001,103.85
165,7 Flora Drive,Dahlia Park Condominium,2003,1098 sqft,2,2,"S$ 935,000 ",S$ 851.55 psf,Freehold,Condominium,1.358649,103.9652865
166,969 Bukit Timah Road,Floridian,2012,1679 sqft,3,3,"S$ 3,300,000 ","S$ 1,965.46 psf",Freehold,Condominium,1.34041,103.77221
167,4 Bedok Rise,The Glades,2017,700 sqft,2,2,"S$ 1,118,888 ","S$ 1,598.41 psf",99-year Leasehold,Condominium,1.326852,103.9485285
168,344 River Valley Road,RV Altitude,Freehold,570 sqft,2,2,"S$ 1,538,000 ","S$ 2,698.25 psf",Condominium,New Project: 2022,1.29328,103.82615
169,588D Ang Mo Kio Street 52,588D Ang Mo Kio Street 52,2011,980 sqft,2,3,"S$ 760,000 ",S$ 775.51 psf,99-year Leasehold,HDB Apartment,1.3717709999999999,103.853961
170,11 Balmoral Road,The Hyde,Freehold,678 sqft,2,2,"S$ 1,862,000 ","S$ 2,746.31 psf",Condominium,New Project: 2022,1.314279,103.8310245
171,912 Tampines Street 91,912 Tampines Street 91,1983,1431 sqft,2,3,"S$ 538,000 ",S$ 375.96 psf,99-year Leasehold,HDB Apartment,1.3494329999999999,103.939254
172,"Bukit Timah Rd, Dunearn Rd, Novena",D11 Newly built Detached Bungalow near Botanics Garden MRT,2019,"11048 sqft, 5226 sqft (land)",6,6,"S$ 13,980,000 ","S$ 2,675.09 psf",Freehold,Detached House,1.3314912406000001,103.7967790512
173,213 Guillemard Road,Guillemard Suites,2017,398 sqft,2,1,"S$ 638,000 ","S$ 1,603.02 psf",Freehold,Apartment,1.310949,103.8827205
174,77 Pasir Ris Grove,Livia,2011,1259 sqft,3,3,"S$ 1,200,000 ",S$ 953.14 psf,99-year Leasehold,Condominium,1.372887,103.9436865
175,426 Jurong West Avenue 1,426 Jurong West Avenue 1,1984,1453 sqft,2,3,"S$ 456,888 ",S$ 314.44 psf,99-year Leasehold,HDB Apartment,1.351593,103.72464
176,314 Shunfu Road,Jadescape,99-year Leasehold,904 sqft,2,3,"S$ 1,477,000 ","S$ 1,633.85 psf",Condominium,New Project: 2023,1.351764,103.8382515
177,1 Fraser Street,Duo Residences,2017,818 sqft,2,2,"S$ 2,350,000 ","S$ 2,872.86 psf",99-year Leasehold,Apartment,1.299159,103.857858
178,5A Kovan Road,Kovan Residences,2011,1443 sqft,3,4,"S$ 1,850,000 ","S$ 1,282.05 psf",99-year Leasehold,Condominium,,
179,123 Simei Street 1,123 Simei Street 1,1987,1312 sqft,2,3,"S$ 585,000 ",S$ 445.88 psf,99-year Leasehold,HDB Apartment,1.345311,103.953186
180,22 Bedok South Avenue 1,22 Bedok South Avenue 1,1976,1055 sqft,2,3,"S$ 470,000 ",S$ 445.50 psf,99-year Leasehold,HDB Apartment,1.322829,103.9328505
181,2 Hougang Street 32,Parc Vera,2015,786 sqft,2,2,"S$ 880,000 ","S$ 1,119.59 psf",99-year Leasehold,Condominium,1.3637700000000001,103.895316
182,8 Martin Place,Martin Modern,99-year Leasehold,850 sqft,2,3,"S$ 2,468,000 ","S$ 2,903.53 psf",Condominium,New Project: 2021,1.293354,103.838454
183,30 Sturdee Road,Kerrisdale,2006,1270 sqft,3,3,"S$ 1,620,000 ","S$ 1,275.59 psf",99-year Leasehold,Condominium,1.3131089999999999,103.85766
184,369 Yung An Road,369 Yung An Road,1993,1593 sqft,2,4,"S$ 550,000 ",S$ 345.26 psf,99-year Leasehold,HDB Apartment,,
185,Guillemard Road,D14 Landed Property,2020,"5000 sqft, 1655 sqft (land)",7,6,"S$ 3,750,000 ","S$ 2,265.86 psf",Freehold,Terraced House,1.3111053844,103.8851837341
186,649 Pasir Ris Drive 10,649 Pasir Ris Drive 10,1993,1572 sqft,2,3,"S$ 605,000 ",S$ 384.86 psf,99-year Leasehold,HDB Apartment,1.37844,103.9383135
187,Lorong 4 / Lorong 6 Toa Payoh,Gem Residences,99-year Leasehold,570 sqft,1,2,"S$ 1,162,000 ","S$ 2,038.60 psf",Condominium,New Project: 2020,1.33448,103.85108
188,2 Woodleigh Lane,Park Colonial,99-year Leasehold,463 sqft,1,1,"S$ 780,000 ","S$ 1,684.67 psf",Condominium,New Project: 2022,1.3377377736,103.8693875655
189,Swiss view,"3 Storey inter terrace with basement , unblocked faces full greenery view",1993,"3300 sqft, 1867 sqft (land)",3,5,"S$ 3,500,000 ","S$ 1,874.67 psf",999-year Leasehold,Terraced House,1.3467977279,103.789702645
190,34 Segar Road,Blossom Residences,2014,1109 sqft,3,3,"S$ 1,100,000 ",S$ 991.88 psf,99-year Leasehold,Executive Condominium,1.3898700000000002,103.77027
191,6 Rifle Range Road,Mayfair Modern,99-year Leasehold,721 sqft,2,2,"S$ 1,480,000 ","S$ 2,052.70 psf",Condominium,New Project: 2024,1.337634,103.781736
192,65B Cavenagh Road,Waterscape @ Cavenagh,2014,1066 sqft,2,2,"S$ 2,209,320 ","S$ 2,072.53 psf",Freehold,Apartment,1.304406,103.8406005
193,SELETAR HILLS / JALAN JARAK / YIO CHU KANG,★ BRAND NEW HUGE SEMI-D w/ LIFT + POOL + BASEMENT @ JALAN JARAK ★,2019,"7300 sqft, 3143 sqft (land)",6,5,"S$ 5,280,000 ","S$ 1,679.92 psf",999-year Leasehold,Semi-Detached House,1.3825688829,103.8723662499
194,3 Jurong Lake Link,Lakeville,2018,936 sqft,2,3,"S$ 1,418,000 ","S$ 1,514.96 psf",99-year Leasehold,Condominium,1.346247,103.725963
195,916 Tampines Street 91,916 Tampines Street 91,1984,1184 sqft,2,3,"S$ 400,000 ",S$ 337.84 psf,99-year Leasehold,HDB Apartment,1.348632,103.940289
196,712A Upper Changi Road East,Changi Green,2001,1216 sqft,2,3,"S$ 1,338,000 ","S$ 1,100.33 psf",Freehold,Condominium,1.344492,103.9642605
197,209B Compassvale Lane,209B Compassvale Lane,2009,720 sqft,2,2,"S$ 368,000 ",S$ 511.11 psf,99-year Leasehold,HDB Apartment,1.383813,103.898808
198,119B Kim Tian Road,119B Kim Tian Road,2001,1184 sqft,2,3,"S$ 850,000 ",S$ 717.91 psf,99-year Leasehold,HDB Apartment,1.281159,103.827267
199,Shun Fu Road,Jadescape,2023,527 sqft,1,1,"S$ 889,000 ","S$ 1,686.91 psf",99-year Leasehold,Condominium,,
200,18 Nassim Hill,The Nassim,2015,4198 sqft,5,4,"S$ 15,500,000 ","S$ 3,692.23 psf",Freehold,Condominium,1.3061900522,103.8226900628
201,35 Simei Street 4,Modena,2002,1539 sqft,3,3,"S$ 1,350,000 ",S$ 877.19 psf,99-year Leasehold,Condominium,1.34253,103.955031
202,234 Serangoon Avenue 3,234 Serangoon Avenue 3,1984,904 sqft,2,3,"S$ 520,000 ",S$ 575.22 psf,99-year Leasehold,HDB Apartment,1.3525200000000002,103.87036
203,7 River Valley Close,Euro-asia Court,1994,1668 sqft,2,3,"S$ 2,880,000 ","S$ 1,726.62 psf",Freehold,Apartment,1.294119,103.8375045
204,308B Punggol Walk,308B Punggol Walk,2015,990 sqft,2,3,"S$ 538,000 ",S$ 543.43 psf,99-year Leasehold,HDB Apartment,1.4077709999999999,103.8995865
205,38 Lorong 30 Geylang,Guillemard Edge,2015,549 sqft,1,2,"S$ 788,000 ","S$ 1,435.34 psf",Freehold,Condominium,1.3120020000000001,103.8859515
206,184 Bishan Street 13,184 Bishan Street 13,1986,968 sqft,2,3,"S$ 598,888 ",S$ 618.69 psf,99-year Leasehold,HDB Apartment,1.350072,103.852539
207,24 Upper Serangoon Crescent,Riversails,2016,947 sqft,2,2,"S$ 1,100,000 ","S$ 1,161.56 psf",99-year Leasehold,Condominium,1.378467,103.9025205
208,2 Whampoa East,Eight Riversuites,2016,700 sqft,2,2,"S$ 1,100,000 ","S$ 1,571.43 psf",99-year Leasehold,Condominium,1.321821,103.864743
209,2 Woodleigh Close,8 @ Woodleigh,2012,840 sqft,2,2,"S$ 1,250,000 ","S$ 1,488.10 psf",99-year Leasehold,Condominium,1.335915,103.8696885
210,13 Ghim Moh Road,13 Ghim Moh Road,1976,1323 sqft,2,3,"S$ 930,000 ",S$ 702.95 psf,99-year Leasehold,HDB Apartment,1.309707,103.789098
211,Lorong 4 / Lorong 6 Toa Payoh,Gem Residences,99-year Leasehold,936 sqft,2,3,"S$ 1,750,000 ","S$ 1,869.66 psf",Condominium,New Project: 2020,1.33448,103.85108
212,Park Villas Green,Park Villas,1998,"3000 sqft, 2379 sqft (land)",4,4,"S$ 1,880,000 ",S$ 790.25 psf,99-year Leasehold,Terraced House,1.3682535909,103.879493771
213,26 Leedon Heights,Leedon Green,Freehold,474 sqft,1,1,"S$ 1,280,000 ","S$ 2,700.42 psf",Condominium,New Project: 2023,1.31295,103.80259
214,196 Bishan Street 13,196 Bishan Street 13,1986,1324 sqft,2,3,"S$ 868,000 ",S$ 655.59 psf,99-year Leasehold,HDB Apartment,1.348047,103.8507255
215,101 Gangsa Road,101 Gangsa Road,1986,1625 sqft,2,3,"S$ 650,000 ",S$ 400.00 psf,99-year Leasehold,HDB Apartment,1.3791600000000002,103.7674395
216,21 Stirling Road,Stirling Residences,99-year Leasehold,1055 sqft,3,3,"S$ 1,768,000 ","S$ 1,675.83 psf",Apartment,New Project: 2022,1.29621,103.80361
217,2 Jalan Tani,Isuites @ Tani,2012,1108 sqft,2,3,"S$ 1,300,000 ","S$ 1,173.29 psf",999-year Leasehold,Apartment,1.3658489999999999,103.884858
218,73 Rosewood Drive,Parc Rosewood,2014,1787 sqft,2,4,"S$ 1,380,000 ",S$ 772.24 psf,99-year Leasehold,Condominium,1.428687,103.7861505
219,14 Telok Blangah Crescent,14 Telok Blangah Crescent,1998,1335 sqft,2,4,"S$ 720,000 ",S$ 539.33 psf,99-year Leasehold,HDB Apartment,1.2773970000000001,103.8204675
220,Dundee Road,Queens Peak,99-year Leasehold,624 sqft,1,2,"S$ 1,216,800 ","S$ 1,950.00 psf",Condominium,New Project: 2020,1.2948534038,103.807165743
221,2 Whampoa East,Eight Riversuites,2016,980 sqft,2,3,"S$ 1,500,000 ","S$ 1,530.61 psf",99-year Leasehold,Condominium,1.321821,103.864743
222,35 Simei Street 4,Modena,2002,1700 sqft,4,4,"S$ 1,750,000 ","S$ 1,029.41 psf",99-year Leasehold,Condominium,1.34253,103.955031
223,3 Topaz Road,Suites @ Topaz,2013,420 sqft,1,1,"S$ 599,000 ","S$ 1,426.19 psf",Freehold,Condominium,1.328706,103.865094
224,120 Grange Road,120 Grange,Freehold,678 sqft,2,2,"S$ 1,958,000 ","S$ 2,887.91 psf",Condominium,New Project: 2021,1.29967,103.82541
225,180 Depot Road,The Interlace,2013,1899 sqft,3,3,"S$ 2,438,888 ","S$ 1,284.30 psf",99-year Leasehold,Condominium,1.282203,103.8030255
226,77 Sentosa Cove Drive,Sentosa Cove,2011,"8600 sqft, 10110 sqft (land)",4,4,"S$ 33,000,000 ","S$ 3,264.09 psf",99-year Leasehold,Detached House,1.2424835609,103.8360393081
227,71Q Jalan Lim Tai See,Ventura Heights,2011,4651 sqft,4,5,"S$ 3,600,000 ",S$ 774.03 psf,Freehold,Cluster House,,
228,308 Woodlands Avenue 1,308 Woodlands Avenue 1,1985,2069 sqft,3,5,"S$ 880,000 ",S$ 425.33 psf,99-year Leasehold,HDB Apartment,1.429803,103.776561
229,20 Cuscaden Road,The Tomlinson,2003,3703 sqft,5,5,"S$ 8,800,000 ","S$ 2,376.45 psf",Freehold,Apartment,1.304406,103.826016
230,33 Simei Rise,Savannah Condopark,2005,1227 sqft,3,3,"S$ 1,060,000 ",S$ 863.90 psf,99-year Leasehold,Condominium,1.349748,103.961655
231,37 Chai Chee Avenue,37 Chai Chee Avenue,1973,710 sqft,1,3,"S$ 300,000 ",S$ 422.54 psf,99-year Leasehold,HDB Apartment,1.325439,103.9262085
232,33 Mandalay Road,The Ansley,2004,2325 sqft,4,4,"S$ 3,400,000 ","S$ 1,462.37 psf",Freehold,Condominium,1.323288,103.848795
233,157D Rivervale Crescent,157D Rivervale Crescent,2001,1206 sqft,2,3,"S$ 450,000 ",S$ 373.13 psf,99-year Leasehold,HDB Apartment,1.388088,103.907889
234,2 Anamalai Avenue,Royalgreen,Freehold,635 sqft,1,2,"S$ 1,728,000 ","S$ 2,721.26 psf",Condominium,New Project: 2025,1.3309864449,103.7945655375
235,436 Ang Mo Kio Avenue 10,436 Ang Mo Kio Avenue 10,1978,990 sqft,2,3,"S$ 459,000 ",S$ 463.64 psf,99-year Leasehold,HDB Apartment,1.36752,103.85505
236,,GOODMAN ROAD ESTATE,2020,"5000 sqft, 2400 sqft (land)",6,5,"S$ 6,280,000 ","S$ 2,616.67 psf",Freehold,Semi-Detached House,,
237,Pasir Ris Grove,Coco Palms,2019,463 sqft,1,1,"S$ 700,000 ","S$ 1,511.88 psf",99-year Leasehold,Condominium,1.3719963153,103.9448030088
238,26 Bendemeer Road,26 Bendemeer Road,1971,893 sqft,2,3,"S$ 468,000 ",S$ 524.08 psf,99-year Leasehold,HDB Apartment,1.318311,103.8629205
239,308C Punggol Walk,308C Punggol Walk,2015,990 sqft,2,3,"S$ 528,000 ",S$ 533.33 psf,99-year Leasehold,HDB Apartment,1.408005,103.8990735
240,13 Dairy Farm Heights,The Skywoods,2017,1184 sqft,3,3,"S$ 1,550,000 ","S$ 1,309.12 psf",99-year Leasehold,Condominium,1.365462,103.771773
241,8 Paterson Hill,The Marq On Paterson Hill,2011,3089 sqft,5,4,"S$ 16,000,000 ","S$ 5,179.67 psf",Freehold,Condominium,1.3004100694,103.8304600805
242,133 Lorong Ah Soo,133 Lorong Ah Soo,1984,1119 sqft,2,3,"S$ 380,000 ",S$ 339.59 psf,99-year Leasehold,HDB Apartment,1.3529600222,103.8837799745
243,49 Kim Pong Road,49 Kim Pong Road,1949,947 sqft,1,2,"S$ 668,000 ",S$ 705.39 psf,99-year Leasehold,HDB Apartment,1.2843,103.830516
244,,Horizon Gardens,2002,3056 sqft,5,6,"S$ 2,080,000 ",S$ 680.63 psf,99-year Leasehold,Cluster House,,
245,20 Pasir Ris Link,Sea Esta,2016,1787 sqft,4,4,"S$ 1,650,000 ",S$ 923.34 psf,99-year Leasehold,Condominium,1.377522,103.960242
246,259B Punggol Field,259B Punggol Field,2014,1001 sqft,2,2,"S$ 470,000 ",S$ 469.53 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
247,74 Upper Serangoon View,Kingsford Waterbay,2018,678 sqft,2,2,"S$ 880,000 ","S$ 1,297.94 psf",99-year Leasehold,Apartment,1.374723,103.903731
248,647 Jalan Tenaga,647 Jalan Tenaga,1992,1313 sqft,2,4,"S$ 580,000 ",S$ 441.74 psf,99-year Leasehold,HDB Apartment,,
249,65 Lloyd Road,Lloyd Sixtyfive,2016,603 sqft,1,1,"S$ 1,850,000 ","S$ 3,067.99 psf",Freehold,Condominium,1.297206,103.838976
250,501 Hougang Avenue 8,501 Hougang Avenue 8,1986,689 sqft,2,2,"S$ 330,000 ",S$ 478.96 psf,99-year Leasehold,HDB Apartment,1.364814,103.8657555
251,170C Punggol Field,170C Punggol Field,2012,1205 sqft,2,3,"S$ 528,000 ",S$ 438.17 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
252,448 Choa Chu Kang Avenue 4,448 Choa Chu Kang Avenue 4,1996,1496 sqft,3,4,"S$ 600,000 ",S$ 401.07 psf,99-year Leasehold,HDB Apartment,1.380141,103.7372175
253,61 Lorong K Telok Kurau,Sunshine Residences,2006,560 sqft,1,1,"S$ 650,000 ","S$ 1,160.71 psf",Freehold,Condominium,1.31295,103.91128
254,138 Jalan Bukit Merah,138 Jalan Bukit Merah,1975,635 sqft,1,2,"S$ 300,000 ",S$ 472.44 psf,99-year Leasehold,HDB Apartment,1.2828,103.81786
255,17 Simei Street 4,Double Bay Residences,2012,1270 sqft,3,3,"S$ 1,450,000 ","S$ 1,141.73 psf",99-year Leasehold,Condominium,1.3411710000000001,103.9562865
256,386 Dunearn Road,Dunearn 386,Freehold,452 sqft,1,1,"S$ 1,143,000 ","S$ 2,528.76 psf",Condominium,New Project: 2025,1.29329,103.77292
257,30 Sturdee Road,Kerrisdale,2006,1258 sqft,3,3,"S$ 1,400,000 ","S$ 1,112.88 psf",99-year Leasehold,Condominium,1.3131089999999999,103.85766
258,22 Sumang Walk,Piermont Grand,99-year Leasehold,840 sqft,2,3,"S$ 899,000 ","S$ 1,070.24 psf",Executive Condominium,New Project: 2023,1.4051369366,103.894985989
259,921 Bukit Timah Road,The Cascadia,2011,1217 sqft,2,3,"S$ 2,400,000 ","S$ 1,972.06 psf",Freehold,Condominium,1.34041,103.77221
260,412 Upper East Coast Road,East Coast Residences,2010,893 sqft,2,2,"S$ 1,200,000 ","S$ 1,343.78 psf",Freehold,Condominium,1.31283,103.92608
261,45 Mount Sinai Rise,Beaverton Court,1984,3120 sqft,5,4,"S$ 4,990,000 ","S$ 1,599.36 psf",Freehold,Condominium,1.316187,103.7763
262,39 Lorong 24 Geylang,Rezi 24,Freehold,452 sqft,1,1,"S$ 700,000 ","S$ 1,548.67 psf",Apartment,New Project: 2022,1.311615,103.88358
263,770 Bedok Reservoir Road,Waterfront Key,2012,1517 sqft,3,4,"S$ 1,850,000 ","S$ 1,219.51 psf",99-year Leasehold,Condominium,1.34261,103.92539
264,472 Siglap Road,Flamingo Valley,2015,2962 sqft,4,4,"S$ 3,980,000 ","S$ 1,343.69 psf",Freehold,Condominium,1.31059,103.9254
265,Buangkok Drive,Jewel @ Buangkok,2017,926 sqft,2,3,"S$ 1,350,000 ","S$ 1,457.88 psf",99-year Leasehold,Condominium,1.3798882624,103.8931552477
266,5 Sophia Road,Sophia Residence,2014,797 sqft,1,2,"S$ 1,599,999 ","S$ 2,007.53 psf",Freehold,Condominium,1.3016429999999999,103.8484755
267,Upper Bukit Timah/ King Albert Park / Swiss Club,Price Revised Down! Best Deal Upper Bukit Timah/ King Albert Park / Swiss Club Road,2019,"7750 sqft, 4779 sqft (land)",7,6,"S$ 9,900,000 ","S$ 2,071.56 psf",999-year Leasehold,Detached House,1.3358970000000001,103.780719
268,452A Sengkang West Way,452A Sengkang West Way,2013,990 sqft,2,3,"S$ 450,000 ",S$ 454.55 psf,99-year Leasehold,HDB Apartment,1.393551,103.8744855
269,283 Bedok South Avenue 3,Eco,2017,549 sqft,1,1,"S$ 769,000 ","S$ 1,400.73 psf",99-year Leasehold,Condominium,1.322775,103.9449285
270,603 Clementi West Street 1,603 Clementi West Street 1,1979,720 sqft,2,2,"S$ 270,000 ",S$ 375.00 psf,99-year Leasehold,HDB Apartment,1.30509,103.7671965
271,80 Mohamed Sultan Road,The Pier @ Robertson,2006,732 sqft,1,1,"S$ 1,463,268 ","S$ 1,999.00 psf",Freehold,Apartment,1.2912569999999999,103.8406905
272,Chuan Garden,Chuan Garden,2019,"4014 sqft, 3208 sqft (land)",6,8,"S$ 4,880,000 ","S$ 1,521.20 psf",Freehold,Semi-Detached House,1.362521922,103.8683616753
273,101 West Coast Vale,Parc Riviera,99-year Leasehold,1679 sqft,3,4,"S$ 1,899,999 ","S$ 1,131.63 psf",Condominium,New Project: 2020,1.31152007,103.7596300039
274,377 Clementi Avenue 5,377 Clementi Avenue 5,1980,721 sqft,2,2,"S$ 350,000 ",S$ 485.44 psf,99-year Leasehold,HDB Apartment,1.3175729999999999,103.767975
275,21 Sampan Place,Riveredge,2008,1679 sqft,3,4,"S$ 2,580,000 ","S$ 1,536.63 psf",99-year Leasehold,Condominium,1.300887,103.8820905
276,21 Seletar Road,Seletar Park Residence,2014,1280 sqft,3,3,"S$ 1,650,000 ","S$ 1,289.06 psf",99-year Leasehold,Condominium,1.385676,103.8697515
277,326 Changi Road,Tedge,Freehold,915 sqft,2,3,"S$ 1,372,500 ","S$ 1,500.00 psf",Condominium,New Project: 2022,1.31758,103.90582
278,51 Kampong Bugis,Kallang Riverside,Freehold,517 sqft,1,1,"S$ 1,250,000 ","S$ 2,417.79 psf",Condominium,New Project: 2019,1.3,103.86667
279,32 Flora Drive,Palm Isles,2015,516 sqft,1,1,"S$ 558,888 ","S$ 1,083.12 psf",99-year Leasehold,Condominium,1.356984,103.9644495
280,9 Amber Road,Coastline Residences,Freehold,452 sqft,1,1,"S$ 1,063,000 ","S$ 2,351.77 psf",Condominium,New Project: 2022,1.299078,103.8989655
281,298 Tampines Street 22,298 Tampines Street 22,1984,1302 sqft,2,3,"S$ 475,000 ",S$ 364.82 psf,99-year Leasehold,HDB Apartment,1.351791,103.9547565
282,118 Tampines Street 11,Treasure at Tampines,99-year Leasehold,592 sqft,1,2,"S$ 787,000 ","S$ 1,329.39 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
283,21 Delta Road,Domain 21,2007,1033 sqft,2,2,"S$ 1,650,000 ","S$ 1,597.29 psf",99-year Leasehold,Condominium,1.29176,103.82594
284,,Marine Blue,2017,3670 sqft,3,3,"S$ 4,800,000 ","S$ 1,307.90 psf",Freehold,Condominium,,
285,59 Pasir Ris Drive 1,Belysa,2014,1033 sqft,2,3,"S$ 935,000 ",S$ 905.13 psf,99-year Leasehold,Executive Condominium,1.3734359999999999,103.9407795
286,163 Lorong 1 Toa Payoh,163 Lorong 1 Toa Payoh,1972,700 sqft,1,2,"S$ 380,000 ",S$ 542.86 psf,99-year Leasehold,HDB Apartment,1.33448,103.85108
287,33 Upper Serangoon View,Boathouse Residences,2015,915 sqft,2,3,"S$ 960,000 ","S$ 1,049.18 psf",99-year Leasehold,Condominium,1.375578,103.903317
288,780 Bedok Reservoir Road,Waterfront Key,2012,904 sqft,2,2,"S$ 1,180,000 ","S$ 1,305.31 psf",99-year Leasehold,Condominium,1.34261,103.92539
289,258A Punggol Field,258A Punggol Field,2014,1001 sqft,2,3,"S$ 475,000 ",S$ 474.53 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
290,335C Yishun Street 31,335C Yishun Street 31,2013,1205 sqft,2,3,"S$ 548,000 ",S$ 454.77 psf,99-year Leasehold,HDB Apartment,1.432485,103.844367
291,30 Sturdee Road,Kerrisdale,2006,1485 sqft,4,4,"S$ 1,680,000 ","S$ 1,131.31 psf",99-year Leasehold,Condominium,1.3131089999999999,103.85766
292,105 Bukit Purmei Road,105 Bukit Purmei Road,1982,742 sqft,2,2,"S$ 390,000 ",S$ 525.61 psf,99-year Leasehold,HDB Apartment,1.272483,103.824702
293,118 Tampines Street 11,Treasure @ Tampines,99-year Leasehold,915 sqft,2,3,"S$ 1,236,000 ","S$ 1,350.82 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
294,435B Fernvale Road,435B Fernvale Road,2011,1012 sqft,2,3,"S$ 428,000 ",S$ 422.92 psf,99-year Leasehold,HDB Apartment,1.393398,103.8766455
295,342B Yishun Ring Road,342B Yishun Ring Road,2014,732 sqft,2,2,"S$ 348,000 ",S$ 475.41 psf,99-year Leasehold,HDB Apartment,1.43621,103.83582
296,856E Tampines Street 82,856E Tampines Street 82,1994,1571 sqft,2,4,"S$ 810,000 ",S$ 515.60 psf,99-year Leasehold,HDB Apartment,1.352916,103.938795
297,20 Woodlands Cresent,Northoaks,2001,1292 sqft,3,3,"S$ 838,000 ",S$ 648.61 psf,99-year Leasehold,Condominium,1.4459,103.80404
298,150 Tampines Street 12,150 Tampines Street 12,1983,1108 sqft,2,3,"S$ 500,000 ",S$ 451.26 psf,99-year Leasehold,HDB Apartment,1.350945,103.943079
299,Dundee Road,Queens Peak,99-year Leasehold,721 sqft,2,2,"S$ 1,135,000 ","S$ 1,574.20 psf",Condominium,New Project: 2020,1.2948534038,103.807165743
300,35 Pasir Ris Link,Watercolours,2016,915 sqft,2,3,"S$ 780,000 ",S$ 852.46 psf,99-year Leasehold,Executive Condominium,1.376712,103.959927
301,103 West Coast Vale,Parc Riviera,99-year Leasehold,603 sqft,1,2,"S$ 918,000 ","S$ 1,522.39 psf",Condominium,New Project: 2020,1.31152007,103.7596300039
302,1 Siglap Road,Mandarin Gardens,1986,732 sqft,1,1,"S$ 900,000 ","S$ 1,229.51 psf",99-year Leasehold,Condominium,1.31059,103.9254
303,2 Meyappa Chettiar Road,The Poiz Residences,99-year Leasehold,420 sqft,1,1,"S$ 750,000 ","S$ 1,785.71 psf",Apartment,New Project: 2020,1.3309212801,103.8676297898
304,5 Pandan Valley,Pandan Valley,1979,4024 sqft,3,4,"S$ 4,300,000 ","S$ 1,068.59 psf",Freehold,Condominium,1.31833,103.77583
305,50 Chai Chee Street,50 Chai Chee Street,1980,721 sqft,2,2,"S$ 275,000 ",S$ 381.41 psf,99-year Leasehold,HDB Apartment,1.3293,103.922415
306,11 Rosewood Drive,Rosewood,2003,1174 sqft,2,3,"S$ 900,000 ",S$ 766.61 psf,99-year Leasehold,Condominium,1.431468,103.786767
307,42 - 46 Pasir Panjang Hill,Le Hill,1998,1184 sqft,2,3,"S$ 1,600,000 ","S$ 1,351.35 psf",Freehold,Condominium,1.28248,103.78553
308,15 Lorong Kismis,View @ Kismis,99-year Leasehold,517 sqft,2,2,"S$ 950,000 ","S$ 1,837.52 psf",Condominium,New Project: 2023,,
309,3 Saint Michael's Road,One St Michael's,2010,936 sqft,2,2,"S$ 1,400,000 ","S$ 1,495.73 psf",Freehold,Condominium,1.3259940336,103.8638262409
