,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
4035,Mei Hwan Road,Mei Hwan Road 2. 5 Storey Corner Terrace,2011,"3663 sqft, 3455 sqft (land)",5,6,"S$ 4,680,000 ","S$ 1,354.56 psf",Freehold,Corner Terrace,1.3544530452,103.8591076303
4036,1 Meyer Place,One Meyer,Freehold,614 sqft,2,2,"S$ 1,488,000 ","S$ 2,423.45 psf",Condominium,New Project: 2023,1.298223,103.886235
4037,60 Potong Pasir Avenue 1,The Tre Ver,99-year Leasehold,1012 sqft,2,3,"S$ 1,626,000 ","S$ 1,606.72 psf",Condominium,New Project: 2022,1.334800648,103.8670905698
4038,1 Leedon Heights,D'leedon (former Farrer Court),2014,592 sqft,1,1,"S$ 1,050,000 ","S$ 1,773.65 psf",99-year Leasehold,Condominium,1.316034,103.802265
4039,530B Pasir Ris Drive 1,530B Pasir Ris Drive 1,2015,700 sqft,2,2,"S$ 470,000 ",S$ 671.43 psf,99-year Leasehold,HDB Apartment,1.37169,103.9495005
4040,28 South Beach Road,South Beach Residences,2016,2239 sqft,3,4,"S$ 5,900,000 ","S$ 2,635.10 psf",99-year Leasehold,Condominium,1.29498,103.85658
4041,2 Dover Road,2 Dover Road,1975,700 sqft,2,2,"S$ 349,999 ",S$ 500.00 psf,99-year Leasehold,HDB Apartment,1.303101,103.782906
4042,3 Oxford Road,Kentish Lodge,2000,1173 sqft,2,2,"S$ 1,100,000 ",S$ 937.77 psf,99-year Leasehold,Apartment,1.3159800000000001,103.8530565
4043,386 Dunearn Road,Dunearn 386,Freehold,667 sqft,2,2,"S$ 1,688,000 ","S$ 2,530.73 psf",Condominium,New Project: 2025,1.29329,103.77292
4044,86 Dakota Crescent,Waterbank @ Dakota,2013,1141 sqft,2,3,"S$ 1,900,000 ","S$ 1,665.21 psf",99-year Leasehold,Condominium,1.306827,103.8889665
4045,287 Choa Chu Kang Avenue 2,287 Choa Chu Kang Avenue 2,1990,1572 sqft,3,4,"S$ 525,000 ",S$ 333.97 psf,99-year Leasehold,HDB Apartment,1.378521,103.741686
4046,574 Choa Chu Kang Street 52,Limbang Green,2015,990 sqft,2,3,"S$ 480,000 ",S$ 484.85 psf,99-year Leasehold,HDB Apartment,1.394415,103.745142
4047,11 Pasir Ris Grove,Coco Palms,2019,1744 sqft,4,5,"S$ 2,287,800 ","S$ 1,311.81 psf",99-year Leasehold,Condominium,1.3715009999999999,103.9453245
4048,9 Yio Chu Kang Road,Space @ Kovan,2014,1350 sqft,3,3,"S$ 1,650,000 ","S$ 1,222.22 psf",Freehold,Apartment,1.3879700000000001,103.86879
4049,950 Dunearn Road,Gardenvista,2006,1248 sqft,3,3,"S$ 1,720,000 ","S$ 1,378.21 psf",99-year Leasehold,Condominium,1.29329,103.77292
4050,52 Upper Serangoon View,Kingsford Waterbay,2018,850 sqft,2,3,"S$ 1,250,000 ","S$ 1,470.59 psf",99-year Leasehold,Condominium,1.37313,103.9024305
4051,266A Punggol Way,266A Punggol Way,2014,1206 sqft,2,3,"S$ 650,000 ",S$ 538.97 psf,99-year Leasehold,HDB Apartment,1.40598,103.897989
4052,6 Jalan Lempeng,Parc Clematis,99-year Leasehold,1711 sqft,5,5,"S$ 2,608,000 ","S$ 1,524.25 psf",Condominium,New Project: 2023,1.316601,103.759128
4053,63 Holland Road,Verdure @ Holland Park,2014,1066 sqft,2,2,"S$ 1,999,999 ","S$ 1,876.17 psf",Freehold,Condominium,,
4054,Lorong 36 Geylang/Guillemard Road/Kong Hwa School,GUILLEMARD ROAD,2020,5000 sqft,7,7,"S$ 3,750,000 ",S$ 750.00 psf,Freehold,Terraced House,1.311327,103.8883725
4055,90 Punggol Drive,Riverparc Residence,2014,1561 sqft,3,4,"S$ 1,550,000 ",S$ 992.95 psf,99-year Leasehold,Executive Condominium,1.40246,103.90686
4056,,The Meyerise,2014,1270 sqft,3,3,"S$ 2,508,000 ","S$ 1,974.80 psf",Freehold,Condominium,,
4057,32 Sturdee Road,Kerrisdale,2006,1280 sqft,4,3,"S$ 1,650,000 ","S$ 1,289.06 psf",99-year Leasehold,Condominium,1.31328,103.858047
4058,,Queens Peak,99-year Leasehold,2002 sqft,3,5,"S$ 3,271,000 ","S$ 1,633.87 psf",Condominium,New Project: 2020,,
4059,23 Ang Mo Kio Avenue 9,Nuovo,2004,1281 sqft,3,3,"S$ 1,199,000 ",S$ 935.99 psf,99-year Leasehold,Condominium,1.3835600000000001,103.84835
4060,Jalan Angin Laut,Mistral Park,1995,"4425 sqft, 1940 sqft (land)",5,4,"S$ 3,880,000 ","S$ 2,000.00 psf",Freehold,Terraced House,,
4061,121 West Coast Crescent,Seahill,99-year Leasehold,517 sqft,1,1,"S$ 780,000 ","S$ 1,508.70 psf",Condominium,New Project: 2019,1.298934,103.763916
4062,1 Marine Vista,Neptune Court,1975,1636 sqft,2,3,"S$ 1,780,000 ","S$ 1,088.02 psf",99-year Leasehold,Apartment,1.305837,103.9215195
4063,125 Bukit Batok Central,125 Bukit Batok Central,1984,1571 sqft,2,4,"S$ 690,000 ",S$ 439.21 psf,99-year Leasehold,HDB Apartment,1.34995,103.75199
4064,103 West Coast Vale,Parc Riviera,99-year Leasehold,990 sqft,3,3,"S$ 1,390,000 ","S$ 1,404.04 psf",Condominium,New Project: 2020,1.31152007,103.7596300039
4065,28 Hoy Fatt Road,28 Hoy Fatt Road,1967,646 sqft,1,2,"S$ 278,000 ",S$ 430.34 psf,99-year Leasehold,HDB Apartment,1.286748,103.810113
4066,475B Upper Serangoon Crescent,475B Upper Serangoon Crescent,2014,1184 sqft,2,3,"S$ 810,000 ",S$ 684.12 psf,99-year Leasehold,HDB Apartment,1.375776,103.8999645
4067,61 Grange Road,Beverly Hill,1983,3779 sqft,4,4,"S$ 8,800,000 ","S$ 2,328.66 psf",Freehold,Condominium,1.3006600000000001,103.83737
