Built,area,bathroom,bedroom,price_sqft,Type,latitude,longitude
2014,592.0,1,1,2162.16,Condo,1.273464,103.845582
2017,635.0,1,2,1683.29,Condo,1.3137792755,103.75934456200001
2014,1001.0,2,3,449.55,HDB,1.39545,103.90626
1980,721.0,2,2,367.55,HDB,1.3327799999999999,103.93165
2014,1076.0,2,2,1607.81,Condo,1.316034,103.802265
2011,1206.0,2,2,2114.43,Condo,1.2792780000000001,103.850541
2014,1001.0,2,3,467.53,HDB,1.4049,103.90272
2007,829.0,2,2,1200.24,Condo,1.362285,103.87384200000001
2012,1722.0,4,4,1974.45,Condo,1.3204745314,103.84474006110001
1998,1528.0,3,4,536.65,HDB,1.3396700000000001,103.74287
2018,861.0,2,2,929.15,Condo,1.3925803468,103.9129700573
1977,484.0,1,1,491.74,HDB,1.373337,103.83645600000001
2004,1313.0,3,3,1294.74,Condo,1.311678,103.9389975
1994,893.0,3,2,732.36,Condo,1.412784,103.836726
2014,420.0,1,1,1633.33,Condo,1.38797,103.86879
1981,1614.0,3,3,985.13,Condo,1.33333,103.85
2014,1108.0,2,3,992.78,Condo,1.376082,103.9610385
2016,936.0,2,2,3525.64,Condo,1.29498,103.85658000000001
2017,1216.0,2,3,2239.31,Condo,1.277694,103.849551
2014,1012.0,2,2,1660.08,Condo,1.290951,103.8170025
1974,818.0,1,2,611.25,HDB,1.302651,103.9121865
2015,699.0,2,2,1085.68,HDB,1.2957299999999998,103.809762
2000,1076.0,2,2,843.87,Condo,1.4143299561000002,103.74822998440001
2017,689.0,1,1,2031.93,Condo,1.2771,103.849191
1995,1097.0,2,3,382.86,HDB,1.359243,103.937652
1999,2186.0,4,4,754.8,Condo,1.352817,103.756428
2013,1485.0,3,3,942.76,Condo,1.342665,103.71817349999999
1981,721.0,2,2,413.31,HDB,1.34261,103.92539000000001
2012,474.0,1,1,527.43,HDB,1.348659,103.7317905
2014,732.0,2,2,539.62,HDB,1.369683,103.947921
2010,1226.0,2,2,2437.92,Condo,1.279647,103.8549735
2013,861.0,2,2,1160.28,Condo,1.43585,103.78698
2012,1454.0,2,2,1616.23,Condo,1.3204745314,103.84474006110001
1973,700.0,2,3,514.29,HDB,1.34093,103.84685999999999
2014,1356.0,3,4,958.7,Condo,1.389348,103.770297
2013,1216.0,2,3,493.42,HDB,1.400598,103.8989205
2015,1130.0,3,3,1053.1,Condo,1.383399,103.748373
2013,990.0,2,3,434.34,HDB,1.394847,103.87796850000001
2014,990.0,2,3,368.69,HDB,1.418868,103.844664
2016,764.0,1,2,1413.61,Condo,1.376973,103.7563785
1981,732.0,2,2,355.19,HDB,1.43621,103.83582
2018,463.0,1,1,1723.54,Condo,1.3796238000999999,103.76401461459999
2018,850.0,2,3,1258.82,Condo,1.3748032243000001,103.9030419183
2013,1206.0,2,3,431.18,HDB,1.423125,103.847499
2010,1711.0,2,2,929.28,Condo,1.311579,103.923927
1979,731.0,2,2,383.04,HDB,1.37029,103.85767
2015,990.0,2,3,505.05,HDB,1.40246,103.90686
2016,1313.0,3,3,3309.37,Condo,1.277127,103.8458115
2011,3057.0,4,4,4906.77,Condo,1.3004100694,103.83046008049999
2017,915.0,2,2,1573.77,Condo,1.323288,103.94505
2015,1001.0,2,3,1193.81,Condo,1.35026,103.93597
2017,2034.0,3,4,2598.33,Condo,1.277226,103.8536955
2015,646.0,2,2,866.87,HDB,1.320102,103.76557199999999
2015,1216.0,3,3,1562.5,Condo,1.352538,103.8517155
2015,861.0,2,2,1742.16,Condo,1.2708,103.8138165
2007,861.0,1,1,1602.55,Condo,1.30083,103.8475
1987,1410.0,2,4,553.19,HDB,1.349208,103.856193
2008,1410.0,2,3,1843.97,Condo,1.3014629999999998,103.9024575
2011,1001.0,2,3,579.42,HDB,1.4049,103.90272
2015,1001.0,2,3,479.52,HDB,1.381464,103.769766
2012,1205.0,2,3,513.28,HDB,1.400328,103.900734
2002,1184.0,2,3,405.41,HDB,1.382436,103.88085749999999
2011,1701.0,3,3,1469.72,Condo,1.3060227898999999,103.78865738110001
2011,710.0,1,2,971.83,Condo,1.4290200000000002,103.786344
2018,1625.0,3,3,1415.38,Condo,1.3748032243000001,103.9030419183
2014,2239.0,3,3,839.66,Condo,1.3856760000000001,103.8697515
1974,635.0,2,2,359.06,HDB,1.346688,103.709502
2010,2530.0,3,4,2905.14,Condo,1.302642,103.8293505
1999,1421.0,2,4,448.98,HDB,1.33949,103.70739
1998,1457.0,2,3,394.65,HDB,1.377756,103.87866600000001
1988,1572.0,3,4,489.82,HDB,1.3487129999999998,103.93186949999999
2013,1216.0,2,3,1175.99,Condo,1.3612229999999998,103.87855350000001
2014,1605.0,2,3,797.51,Condo,1.4049,103.90272
2015,646.0,2,2,851.39,HDB,1.319121,103.765491
2016,786.0,2,2,992.37,Condo,1.443663,103.82472
2014,1206.0,2,3,489.22,HDB,1.395765,103.889466
1997,1302.0,2,3,322.58,HDB,1.3735620000000002,103.8791835
2014,3219.0,7,5,2360.98,Condo,1.34041,103.77221
2014,1001.0,2,3,519.48,HDB,1.4049,103.90272
1980,732.0,2,2,430.33,HDB,1.34261,103.92539000000001
1998,1184.0,2,3,412.16,HDB,1.338534,103.701546
1990,1119.0,2,3,409.29,HDB,1.372698,103.8728565
1975,636.0,2,2,421.38,HDB,1.2828,103.81786
2016,700.0,2,2,1540.0,Condo,1.321209,103.8650355
1998,1237.0,3,3,1414.71,Condo,1.318077,103.9431105
1998,1474.0,2,4,405.7,HDB,1.378179,103.87864350000001
2002,1205.0,2,3,1742.74,Condo,1.295145,103.827816
2008,689.0,2,2,2060.96,Condo,1.293075,103.8405375
1999,1184.0,2,3,675.68,HDB,1.293192,103.8112515
2014,1539.0,3,3,1202.08,Condo,1.312497,103.90644449999999
1974,710.0,1,2,366.2,HDB,1.316853,103.875552
1978,990.0,2,3,378.79,HDB,1.3366799999999999,103.9487
1982,1001.0,2,3,529.47,HDB,1.2720870000000002,103.82549399999999
2017,1012.0,2,2,2371.54,Condo,1.277226,103.8536955
1978,1281.0,2,3,452.77,HDB,1.380132,103.8293685
1975,936.0,1,3,598.29,HDB,1.302669,103.909041
1983,979.0,2,3,383.04,HDB,1.360431,103.8922065
1998,1076.0,2,3,369.89,HDB,1.3915620000000002,103.905405
2014,1205.0,2,3,473.03,HDB,1.386558,103.7572065
2013,1130.0,3,3,1095.58,Condo,1.3483530000000001,103.926537
2016,463.0,1,1,1576.67,Condo,1.31758,103.90581999999999
2009,958.0,1,1,1461.38,Condo,1.30318102,103.78975991450001
1994,1141.0,2,3,313.76,HDB,1.34982,103.695444
1977,699.0,1,2,314.74,HDB,1.347642,103.71293100000001
2014,785.0,2,2,1401.27,Condo,1.328094,103.8627765
1995,1140.0,2,3,328.95,HDB,1.3942620000000001,103.749318
2014,452.0,1,1,2362.83,Condo,1.29328,103.82615
1992,1389.0,2,3,459.32,HDB,1.3366799999999999,103.9487
1977,1647.0,2,3,971.46,Condo,1.310031,103.933863
1993,2400.0,5,4,1657.92,Condo,1.296702,103.8827655
2004,1216.0,3,3,1562.5,Condo,1.266525,103.81656600000001
1980,732.0,2,2,393.44,HDB,1.37628,103.841226
2015,2121.0,3,3,777.93,Condo,1.3806450000000001,103.902975
2008,2303.0,4,4,2561.88,Condo,1.301301,103.823712
2003,1184.0,2,3,395.27,HDB,1.40246,103.90686
2014,1367.0,3,3,804.68,Condo,1.4238540000000002,103.8480795
2012,1270.0,2,3,511.81,HDB,1.322775,103.739715
1986,1173.0,2,3,988.92,Condo,1.310769,103.9363785
1974,883.0,2,3,631.94,HDB,1.303767,103.9141755
2015,1216.0,2,3,419.41,HDB,1.37514,103.73863
2000,1173.0,2,3,757.03,Condo,1.38616,103.74618000000001
2012,1001.0,2,3,1178.82,Condo,1.340937,103.955859
2001,1776.0,3,4,777.03,Condo,1.44794,103.81891
1996,1098.0,2,3,591.99,HDB,1.3094729999999999,103.882437
2010,710.0,1,1,2253.52,Condo,1.279647,103.8549735
2007,1950.0,2,4,1076.92,Condo,1.307376,103.911048
2015,883.0,2,2,1075.88,Condo,1.392534,103.880565
2021,624.0,1,2,1420.21,Condo,1.4034398732,103.8175064486
2017,452.0,1,1,1548.67,Condo,1.309977,103.852953
2014,668.0,2,2,776.95,HDB,1.35026,103.93597
2014,1216.0,2,2,1110.2,Condo,1.311696,103.89630600000001
2013,1012.0,2,2,1561.26,Condo,1.268163,103.814379
2015,2196.0,3,3,842.44,Condo,1.380627,103.90211550000001
2016,635.0,1,1,1236.22,Condo,1.376973,103.7563785
2016,571.0,1,2,1471.1,Condo,1.4038110000000001,103.81869449999999
1997,1539.0,2,4,539.31,HDB,1.337868,103.744872
2016,700.0,2,2,1642.86,Condo,1.32174,103.864563
2003,1195.0,2,3,416.74,HDB,1.40246,103.90686
1983,1119.0,2,3,375.34,HDB,1.325916,103.91975550000001
2014,1216.0,2,3,444.08,HDB,1.3906079999999998,103.8799395
2016,1185.0,3,3,1010.97,Condo,1.378332,103.90289399999999
2017,495.0,1,1,1232.32,Condo,1.4336462971,103.84152928290001
2016,517.0,1,1,1353.96,Condo,1.328661,103.86449549999999
1979,721.0,2,2,416.09,HDB,1.328652,103.924494
