area,bathroom,bedroom,Type,latitude,longitude,school,mrt,age_of_building,bathroom_area,bedroom_area,remaining_area,convenience,distance_from_central,price_sqft
1055.0,2,3,HDB,1.322829,103.9328505,3.0,1.0,44,105.5,395.625,553.875,4.0,11.439208061629975,445.5
786.0,2,2,Condo,1.3637700000000001,103.895316,2.0,0.0,5,78.60000000000001,196.5,510.9,2.0,9.679214233922853,1119.59
1270.0,3,3,Condo,1.313109,103.85766,2.0,0.0,14,190.50000000000003,476.25,603.25,2.0,3.0513591817811307,1275.59
1572.0,2,3,HDB,1.37844,103.9383135,2.0,0.0,27,157.20000000000002,589.5,825.3,2.0,14.433607967385601,384.86
1109.0,3,3,Condo,1.3898700000000002,103.77027,3.0,0.0,6,166.35000000000002,415.875,526.775,3.0,11.706300636013454,991.88
1066.0,2,2,Condo,1.304406,103.8406005,2.0,1.0,6,106.60000000000001,266.5,692.9,3.0,0.9824905528396596,2072.53
936.0,2,3,Condo,1.346247,103.725963,3.0,0.0,2,93.60000000000001,351.0,491.4,3.0,12.669641796682853,1514.96
1184.0,2,3,HDB,1.348632,103.940289,3.0,1.0,36,118.4,444.0,621.5999999999999,4.0,13.045652071424438,337.84
1216.0,2,3,Condo,1.344492,103.9642605,0.0,1.0,19,121.60000000000001,456.0,638.4000000000001,1.0,15.408685044248562,1100.33
720.0,2,2,HDB,1.383813,103.898808,5.0,0.0,11,72.0,180.0,468.0,5.0,11.556136799902989,511.11
1184.0,2,3,HDB,1.281159,103.827267,3.0,0.0,19,118.4,444.0,621.5999999999999,3.0,2.574163516126107,717.91
4198.0,5,4,Condo,1.3061900522,103.8226900628,0.0,0.0,5,1049.5,2099.0,1049.5,0.0,1.0406561254755962,3692.23
1539.0,3,3,Condo,1.34253,103.955031,2.0,1.0,18,230.85000000000002,577.125,731.0250000000001,3.0,14.363113400578642,877.19
904.0,2,3,HDB,1.3525200000000002,103.87036,4.0,1.0,36,90.4,339.0,474.6,5.0,6.872237096976507,575.22
1668.0,2,3,Condo,1.294119,103.8375045,1.0,0.0,26,166.8,625.5,875.7,1.0,1.2637935235208178,1726.62
990.0,2,3,HDB,1.4077709999999999,103.8995865,4.0,1.0,5,99.0,371.25,519.75,5.0,13.734128448777733,543.43
549.0,1,2,Condo,1.3120020000000001,103.8859515,2.0,0.0,5,27.450000000000003,137.25,384.29999999999995,2.0,6.093292147379324,1435.34
968.0,2,3,HDB,1.350072,103.852539,2.0,1.0,34,96.80000000000001,363.0,508.20000000000005,3.0,5.5945872544382205,618.69
947.0,2,2,Condo,1.378467,103.9025205,4.0,0.0,4,94.7,236.75,615.55,4.0,11.39268478823961,1161.56
700.0,2,2,Condo,1.321821,103.864743,2.0,1.0,4,70.0,175.0,455.0,3.0,4.164496251079784,1571.43
840.0,2,2,Condo,1.335915,103.8696885,2.0,1.0,8,84.0,210.0,546.0,3.0,5.500690700025254,1488.1
1323.0,2,3,HDB,1.309707,103.789098,2.0,1.0,44,132.3,496.125,694.575,3.0,4.7921968030109765,702.95
1324.0,2,3,HDB,1.348047,103.8507255,3.0,1.0,34,132.4,496.5,695.0999999999999,4.0,5.308104303078582,655.59
1625.0,2,3,HDB,1.3791600000000002,103.7674395,5.0,0.0,34,162.5,609.375,853.125,5.0,10.970898211683437,400.0
1108.0,2,3,Condo,1.3658489999999999,103.884858,2.0,0.0,8,110.80000000000001,415.5,581.7,2.0,9.037426570422088,1173.29
1787.0,2,4,Condo,1.428687,103.7861505,4.0,0.0,6,178.70000000000002,893.5,714.8,4.0,14.693683000009864,772.24
1335.0,2,4,HDB,1.277397,103.8204675,2.0,0.0,22,133.5,667.5,534.0,2.0,3.1988890074604592,539.33
980.0,2,3,Condo,1.321821,103.864743,2.0,1.0,4,98.0,367.5,514.5,3.0,4.164496251079784,1530.61
1700.0,4,4,Condo,1.34253,103.955031,2.0,1.0,18,340.0,850.0,510.0,3.0,14.363113400578642,1029.41
420.0,1,1,Condo,1.328706,103.865094,2.0,0.0,7,21.0,52.5,346.5,2.0,4.605714391658215,1426.19
1899.0,3,3,Condo,1.282203,103.8030255,1.0,0.0,7,284.85,712.125,902.0250000000001,1.0,4.005808494967186,1284.3
2069.0,3,5,HDB,1.4298030000000002,103.776561,2.0,1.0,35,310.35,1293.125,465.5250000000001,3.0,15.208562863580982,425.33
3703.0,5,5,Condo,1.304406,103.826016,0.0,0.0,17,925.75,2314.375,462.875,0.0,0.6433416838355535,2376.45
1227.0,3,3,Condo,1.349748,103.961655,1.0,0.0,15,184.05000000000004,460.125,582.825,1.0,15.313531961895238,863.9
710.0,1,3,HDB,1.325439,103.9262085,2.0,1.0,47,35.5,266.25,408.25,3.0,10.77304942715061,422.54
2325.0,4,4,Condo,1.323288,103.848795,1.0,0.0,16,465.0,1162.5,697.5,1.0,2.8526913678467474,1462.37
1206.0,2,3,HDB,1.388088,103.907889,4.0,0.0,19,120.60000000000001,452.25,633.1500000000001,4.0,12.578171413105938,373.13
990.0,2,3,HDB,1.36752,103.85505,3.0,0.0,42,99.0,371.25,519.75,3.0,7.486787831367324,463.64
463.0,1,1,Condo,1.3719963153,103.9448030088,1.0,0.0,1,23.150000000000002,57.875,381.975,1.0,14.654436049815603,1511.88
893.0,2,3,HDB,1.318311,103.8629205,2.0,1.0,49,89.30000000000001,334.875,468.82500000000005,3.0,3.810038806753308,524.08
990.0,2,3,HDB,1.408005,103.8990735,4.0,1.0,5,99.0,371.25,519.75,5.0,13.724520046120238,533.33
1184.0,3,3,Condo,1.3654620000000002,103.771773,1.0,0.0,3,177.60000000000002,444.0,562.4,1.0,9.5290009981699,1309.12
3089.0,5,4,Condo,1.3004100694,103.83046008049999,1.0,1.0,9,772.25,1544.5,772.25,2.0,0.4224081061807877,5179.67
1119.0,2,3,HDB,1.3529600222,103.8837799745,2.0,0.0,36,111.9,419.625,587.475,2.0,7.925086198770215,339.59
947.0,1,2,HDB,1.2843,103.830516,2.0,1.0,71,47.35,236.75,662.9,3.0,2.1818830992032265,705.39
1787.0,4,4,Condo,1.377522,103.960242,2.0,0.0,4,357.40000000000003,893.5,536.0999999999999,2.0,16.44656988455912,923.34
1001.0,2,2,HDB,1.4049,103.90272,7.0,1.0,6,100.10000000000001,250.25,650.65,8.0,13.668414533254763,469.53
678.0,2,2,Condo,1.374723,103.903731,1.0,0.0,2,67.8,169.5,440.70000000000005,1.0,11.193095170193684,1297.94
603.0,1,1,Condo,1.297206,103.838976,1.0,1.0,4,30.150000000000002,75.375,497.475,2.0,1.0972146275841559,3067.99
689.0,2,2,HDB,1.364814,103.8657555,2.0,0.0,34,68.9,172.25,447.85,2.0,7.715403530795885,478.96
1205.0,2,3,HDB,1.4049,103.90272,7.0,1.0,8,120.5,451.875,632.625,8.0,13.668414533254763,438.17
1496.0,3,4,HDB,1.380141,103.7372175,2.0,0.0,24,224.40000000000003,748.0,523.5999999999999,2.0,13.477971246597702,401.07
560.0,1,1,Condo,1.31295,103.91128,4.0,0.0,14,28.0,70.0,462.0,4.0,8.90267285901107,1160.71
635.0,1,2,HDB,1.2828,103.81786,2.0,0.0,45,31.75,158.75,444.5,2.0,2.8091243412710476,472.44
1270.0,3,3,Condo,1.341171,103.9562865,1.0,1.0,8,190.50000000000003,476.25,603.25,2.0,14.453149211505568,1141.73
1258.0,3,3,Condo,1.313109,103.85766,2.0,0.0,14,188.70000000000002,471.75,597.55,2.0,3.0513591817811307,1112.88
1217.0,2,3,Condo,1.34041,103.77221,2.0,1.0,9,121.7,456.375,638.925,3.0,7.7569838806185825,1972.06
893.0,2,2,Condo,1.31283,103.92608,1.0,0.0,10,89.30000000000001,223.25,580.45,1.0,10.539900629633959,1343.78
3120.0,5,4,Condo,1.316187,103.7763,2.0,0.0,36,780.0,1560.0,780.0,2.0,6.320176337338832,1599.36
1517.0,3,4,Condo,1.34261,103.92539,1.0,0.0,8,227.55000000000004,758.5,530.95,1.0,11.258884742871572,1219.51
2962.0,4,4,Condo,1.31059,103.9254,1.0,0.0,5,592.4,1481.0,888.5999999999999,1.0,10.444334165793965,1343.69
926.0,2,3,Condo,1.3798882624000002,103.89315524770001,6.0,1.0,3,92.60000000000001,347.25,486.15,7.0,10.82046845247662,1457.88
797.0,1,2,Condo,1.301643,103.8484755,1.0,2.0,6,39.85,199.25,557.9,3.0,1.875888470097658,2007.53
990.0,2,3,HDB,1.393551,103.8744855,3.0,0.0,7,99.0,371.25,519.75,3.0,10.984382674330556,454.55
549.0,1,1,Condo,1.322775,103.9449285,2.0,0.0,3,27.450000000000003,68.625,452.92499999999995,2.0,12.762275259367033,1400.73
720.0,2,2,HDB,1.30509,103.7671965,0.0,0.0,41,72.0,180.0,468.0,0.0,7.188801145694109,375.0
732.0,1,1,Condo,1.2912569999999999,103.8406905,1.0,1.0,14,36.6,91.5,603.9,2.0,1.722086130012935,1999.0
721.0,2,2,HDB,1.3175729999999999,103.767975,2.0,1.0,40,72.10000000000001,180.25,468.65,3.0,7.258191356357827,485.44
1679.0,3,4,Condo,1.300887,103.8820905,0.0,0.0,12,251.85000000000005,839.5,587.6499999999999,0.0,5.609389760982702,1536.63
1280.0,3,3,Condo,1.385676,103.8697515,2.0,0.0,6,192.00000000000003,480.0,608.0,2.0,9.97187130465196,1289.06
516.0,1,1,Condo,1.356984,103.9644495,1.0,0.0,5,25.8,64.5,425.7,1.0,15.884809018088207,1083.12
1302.0,2,3,HDB,1.351791,103.9547565,5.0,0.0,36,130.20000000000002,488.25,683.55,5.0,14.67097777284564,364.82
1033.0,2,2,Condo,1.29176,103.82594,2.0,0.0,13,103.30000000000001,258.25,671.45,2.0,1.5006025687059639,1597.29
1033.0,2,3,Condo,1.373436,103.9407795,2.0,0.0,6,103.30000000000001,387.375,542.325,2.0,14.356468617897505,905.13
700.0,1,2,HDB,1.33448,103.85108,4.0,1.0,48,35.0,175.0,490.0,5.0,3.9972864467910596,542.86
915.0,2,3,Condo,1.375578,103.903317,2.0,0.0,5,91.5,343.125,480.375,2.0,11.226639413976088,1049.18
904.0,2,2,Condo,1.34261,103.92539,1.0,0.0,8,90.4,226.0,587.6,1.0,11.258884742871572,1305.31
1001.0,2,3,HDB,1.4049,103.90272,7.0,1.0,6,100.10000000000001,375.375,525.525,8.0,13.668414533254763,474.53
1205.0,2,3,HDB,1.432485,103.844367,4.0,0.0,7,120.5,451.875,632.625,4.0,14.277074786346935,454.77
1485.0,4,4,Condo,1.313109,103.85766,2.0,0.0,14,297.0,742.5,445.5,2.0,3.0513591817811307,1131.31
